"center", city, state
Kelleys Rainbow,albertville,al
2nd Chance.,anniston,al
The Salvation Army,anniston,al
The Lovelady Center,birmingham,al
First Light,birmingham,al
YWCA Domestic Violence Services,birmingham,al
Legal Services Alabama,birmingham,al
Harbor Haus Crisis Services,cullman,al
The House of Ruth.,dothan,al
Dothan Rescue Mission,dothan,al
Legal Services Alabama,dothan,al
Mary&#39;s Shelter,elberta,al
Safeplace.,florence,al
Crisis Services of North Alabama,huntsville,al
Downtown Rescue Mission,huntsville,al
Legal Services Alabama,huntsville,al
AshaKiran,huntsville,al
Daybreak Family Resource Center of NW Alabama,jasper,al
Penelope House,mobile,al
Women In Crisis Shelter,mobile,al
Mission Of Hope,mobile,al
Legal Services Alabama,mobile,al
Family Sunshine Center,montgomery,al
One Place Family Justice Center,montgomery,al
Women of Refined Gold Inc,montgomery,al
Friendship Mission,montgomery,al
Legal Services Alabama,montgomery,al
Domestic Violence Intervention Center,opelika,al
Legal Services Alabama,oxford,al
The Safehouse Of Shelby County,pelham,al
Crisis Center of Russell County,phenix-city,al
Lighthouse,robertsdale,al
SABRA Sanctuary.,selma,al
Legal Services Alabama,selma,al
Turning Point Domestic Violence &amp; Sexual Assault Services,tuscaloosa,al
Legal Services Alabama,tuscaloosa,al
Abused Women&#39;s Aid In Crisis. (AWAIC),anchorage,ak
Clare House,anchorage,ak
Standing Together Against Rape,anchorage,ak
Arctic Women In Crisis,barrow,ak
The Tundra Women&#39;s Coalition,bethel,ak
Cordova Family Resource Center,cordova,ak
Native Village of Eyak Arnat Women’s Project,cordova,ak
HOPE,craig,ak
Safe &amp; Fear-Free Environment,dillingham,ak
Safe and Fear Free Environment.,dillingham,ak
Emmonak Women&#39;s Shelter,emmonak,ak
Fairbanks Rescue Mission,fairbanks,ak
Interior Alaska Center for Non Violent Living,fairbanks,ak
SEARHC,haines,ak
South Peninsula Haven House,homer,ak
AWARE,juneau,ak
The LeeShore Center,kenai,ak
Women In Safe Homes,ketchikan,ak
Kodiak Women&#39;s Resource and Crisis Center,kodiak,ak
Maniilaq Family Crisis Center,kotzebue,ak
Bering Sea Women&#39;s Group,nome,ak
Alaska Family Services,palmer,ak
Working Against Violence for Everyone-WAVE,petersburg,ak
SeaView Community Services DVSA Program,seward,ak
Sitkans Against Family Violence,sitka,ak
USAFV,unalaska,ak
Advocates For Victims of Violence.,valdez,ak
Community Alliance Against Family Abuse,apache-junction,az
Women&#39;s Transition Project,bisbee,az
WestCare Safe House,bullhead-city,az
Horizon Human Services,casa-grande,az
Against Abuse,casa-grande,az
My Sister&#39;s Place,chandler,az
Ama Doo Alchini Bighan,chinle,az
Catholic Charities Community Services,cottonwood,az
House of Hope - Catholic Community Services,douglas,az
Northland Family Help Center,flagstaff,az
Flagstaff Shelter Services,flagstaff,az
Catholic Charities Community Services,flagstaff,az
Hope Cottage,flagstaff,az
Sharon Manor Housing Solutions of Northern Arizona,flagstaff,az
Fort McDowell Yavapai Nation Domestic Violence Program,fort-mcdowell,az
Glendale Family Advocacy Center - Glendale Police Department,glendale,az
A New Leaf&#39;s Faith House,glendale,az
Gila County Safe Home,globe,az
Horizon Human Services,globe,az
New Life Center,goodyear,az
Genesis House Shelter,green-valley,az
Bread Of Life Mission Of Holbrook,holbrook,az
Tohdenasshai Committee Against Family Abuse,kayenta,az
Kingman Aid to Abused People,kingman,az
Hopi Guidance Center,kykotsmov,az
Lake Havasu Interagency Council,lake-havasu,az
MOMA&#39;S House,laveen,az
A New Leaf,mesa,az
Autumn House Domestic Violence Shelter,mesa,az
Pathways,mesa,az
Our House Nuestra Casa,nogales,az
Mariposa Wings to Safety,nogales,az
Encompass Health Services,page,az
Page Regional Domestic Violence Services,page,az
Colorado River Regional Crisis Shelter,parker,az
Time Out.,payson,az
Peach Springs Domestic Violence Shelter,peach-springs,az
Catholic Charities Community Services,peoria,az
Eve&#39;s Place,peoria,az
Purple Ribbon Council to Prevent Domestic Abuse (DBA GoPurple.org),peoria,az
Area Agency on Aging Region One-Emergency Housing,phoenix,az
The Salvation Army Elim House Domestic Violence Shelter,phoenix,az
Catholic Charities Community Services,phoenix,az
House of Refuge Sunnyslope,phoenix,az
Diocesan Council For The Society Of St. Vincent De Paul Diocese,phoenix,az
White Mountain S.A.F.E. House,pinetop,az
Catholic Charities Community Services,prescott,az
Project Aware inc,prescott,az
Arizona Child &amp; Family Advocacy Network,prescott,az
Stepping Stones,prescott-valley,az
Mount Graham Safe House,safford,az
Salt River Pima-Maricopa Indian Family Advocacy Center,scottsdale,az
Redemption3,scottsdale,az
WestCare AZ,sedona,az
Verde Valley Sanctuary,sedona,az
Tohono O&#39;odham Nation Domestic Violence Program,sells,az
Good Neighbor Alliance,sierra-vista,az
Forgach House,sierra-vista,az
Gift of Mary Womens Shelter,sierra-vista,az
New Hope Ranch,st-johns,az
Oasis Of Christian Love,surprise,az
La Frontera Arizona,tempe,az
Wingspan,tucson,az
The Salvation Army Hospitality House,tucson,az
Gospel Rescue Mission Women And Childrens Center,tucson,az
New Beginnings Shelter,tucson,az
Emerge! Center Against Domestic Abuse,tucson,az
Willcox Deptartment of Public Safety,willcox,az
DNA Peoples Legal Services,window-rock,az
Alice&#39;s Place,winslow,az
Safe House Shelter,yuma,az
Crossroads Mission,yuma,az
Amberly&#39;s Place,yuma,az
Family Violence Prevention.,batesville,ar
Family Violence Prevention. Taylor House for Men,batesville,ar
Saline County Safe Haven.,benton,ar
The Haven of Northeast Arkansas,blytheville,ar
Lonoke County Safe Haven,cabot,ar
Women&#39;s Crisis Center Of S Arkansas,camden,ar
Dove House,clinton,ar
Women&#39;s Shelter Of Central Arkansas,conway,ar
Samaritan Outreach,dardanelle,ar
Turning Point Violence Intervention Program,el-dorado,ar
Peace At Home Family Shelter,fayetteville,ar
Seven Hills Homeless Shelter,fayetteville,ar
Donald W Reynolds Crisis Intervention Center,fort-smith,ar
Spring River Adult And Children Services,hardy,ar
Sanctuary.,harrison,ar
Margie&#39;s Haven House.,heber-springs,ar
Annas Place,helena,ar
Angels of Grace,helena,ar
The Potters Clay Women &amp; Children in Crisis Shelter,hot-springs,ar
Family Crisis Center.,jonesboro,ar
Arkansas Commission on Child Abuse Rape and Domestic Violence,little-rock,ar
Women &amp; Children First: The Center Against Family Violence,little-rock,ar
The Dorcas House,little-rock,ar
Living Water Domestic Violence Shelter,magnolia,ar
Safe Passage.,melbourne,ar
Options.,monticello,ar
The Safe Place Inc,morrilton,ar
Serenity.,mountain-home,ar
Stone County Abuse Prevention,mountain-view,ar
White River Women&#39;s Shelter.,newport,ar
CASA Women&#39;s Shelter,pine-bluff,ar
Northwest Arkansas Womens Shelter,rogers,ar
River Valley Shelter For Women,russellville,ar
White County Domestic Violence Prevention.,searcy,ar
Keeping the Faith Women&#39;s Shelter,sheridan,ar
Restoration of Hope,stuttgart,ar
Domestic Violence Prevention and Sexual Assault Services,texarkana,ar
Families in Transition,w-memphis,ar
Modoc Crisis Center,alturas,ca
Stand Up Placer,auburn,ca
Alliance Against Family Violence and Sexual Assault,bakersfield,ca
Desert Sanctuary Inc.,barstow,ca
Narika,berkeley,ca
Women&#39;s Daytime Drop In Center,berkeley,ca
Doves Of Big Bear Valley,big-bear-lake,ca
Wild Iris Women&#39;s Services,bishop,ca
Interface Children &amp; Family Services,camarillo,ca
Haven Hills,canoga-park,ca
